Brain,ROI,Green,Red,Green_Red_Ratio,Reporter,Driver,Marker,Condition,InjuryType
UasMitoTimer_RepoGal4_1week_moderate_single_f5,AL_left,0.1444176882505417,0.1381344944238662,1.0454860594588011,uasmitotimer,unknown,unknown,moderate,single
UasMitoTimer_RepoGal4_1week_moderate_single_f5,AL_right,0.1444970816373825,0.1381344944238662,1.046060813702279,uasmitotimer,unknown,unknown,moderate,single
UasMitoTimer_RepoGal4_1week_moderate_single_f5,CX,0.1679934710264206,0.2061156332492828,0.8150447803405767,uasmitotimer,unknown,unknown,moderate,single
UasMitoTimer_RepoGal4_1week_moderate_single_f5,MB_left,0.1444265097379684,0.1381344944238662,1.04554992104141,uasmitotimer,unknown,unknown,moderate,single
UasMitoTimer_RepoGal4_1week_moderate_single_f5,MB_right,0.367039144039154,0.4999589025974273,0.7341386304599884,uasmitotimer,unknown,unknown,moderate,single
UasMitoTimer_RepoGal4_1week_moderate_single_f5,PI,0.1445103138685226,0.1381344944238662,1.0461566060761922,uasmitotimer,unknown,unknown,moderate,single
UasMitoTimer_RepoGal4_1week_moderate_single_f5,SEG,0.0722540542483329,0.1381344944238662,0.52307032034027,uasmitotimer,unknown,unknown,moderate,single
Draper_Dee7_1week_moderate_single_f2,AL_left,0.0418129302561283,0.0738115012645721,0.5664825879404999,unknown,unknown,draper,moderate,single
Draper_Dee7_1week_moderate_single_f2,AL_right,0.0340581834316253,0.0471640825271606,0.722121190675385,unknown,unknown,draper,moderate,single
Draper_Dee7_1week_moderate_single_f2,CX,0.0635739266872406,0.086615651845932,0.733977350887147,unknown,unknown,draper,moderate,single
Draper_Dee7_1week_moderate_single_f2,MB_left,0.0459282621741294,0.0816389843821525,0.5625775788579023,unknown,unknown,draper,moderate,single
Draper_Dee7_1week_moderate_single_f2,MB_right,0.0593159012496471,0.0815586447715759,0.7272791427049236,unknown,unknown,draper,moderate,single
Draper_Dee7_1week_moderate_single_f2,PI,0.0498126074671745,0.0866959914565086,0.5745664433881376,unknown,unknown,draper,moderate,single
Draper_Dee7_1week_moderate_single_f2,SEG,0.0223603826016187,0.0078818472102284,2.8369469751457776,unknown,unknown,draper,moderate,single
Draper_Dee7_1week_moderate_single_f5,AL_left,0.9953793287277222,0.8506161570549011,1.1701862473128142,unknown,unknown,draper,moderate,single
Draper_Dee7_1week_moderate_single_f5,AL_right,0.9945839643478394,0.8501785397529602,1.1698530577316617,unknown,unknown,draper,moderate,single
Draper_Dee7_1week_moderate_single_f5,CX,0.9937885999679564,0.9847710132598876,1.0091570391356444,unknown,unknown,draper,moderate,single
Draper_Dee7_1week_moderate_single_f5,MB_left,0.6698848009109497,0.996691644191742,0.67210837455569,unknown,unknown,draper,moderate,single
Draper_Dee7_1week_moderate_single_f5,MB_right,0.5641193389892578,0.9834582209587096,0.5736078330194183,unknown,unknown,draper,moderate,single
Draper_Dee7_1week_moderate_single_f5,PI,0.9931447505950928,0.8502485752105713,1.1680639986360837,unknown,unknown,draper,moderate,single
Draper_Dee7_1week_moderate_single_f5,SEG,0.9976139068603516,0.9898648858070374,1.007828362400184,unknown,unknown,draper,moderate,single
Stat92E_GFP_48hour_moderate_single_m2 (1),AL_left,0.7272217869758606,0.8735712170600891,0.832469949528841,unknown,unknown,unknown,moderate,single
Stat92E_GFP_48hour_moderate_single_m2 (1),AL_right,0.7241582274436951,0.8727166056632996,0.829774777682047,unknown,unknown,unknown,moderate,single
Stat92E_GFP_48hour_moderate_single_m2 (1),CX,0.7265613079071045,0.9948952198028564,0.7302892741318793,unknown,unknown,unknown,moderate,single
Stat92E_GFP_48hour_moderate_single_m2 (1),MB_left,0.7270441651344299,0.998695194721222,0.7279940556211234,unknown,unknown,unknown,moderate,single
Stat92E_GFP_48hour_moderate_single_m2 (1),MB_right,0.6363863348960876,0.8745402693748474,0.7276809967264278,unknown,unknown,unknown,moderate,single
Stat92E_GFP_48hour_moderate_single_m2 (1),PI,0.7250462174415588,0.9991072416305542,0.7256940869113062,unknown,unknown,unknown,moderate,single
Stat92E_GFP_48hour_moderate_single_m2 (1),SEG,0.6362475752830505,0.9987333416938782,0.6370545056641023,unknown,unknown,unknown,moderate,single
UasMitoTimer_RepoGal4_1week_moderate_5days_f7,AL_left,0.0,0.0,,uasmitotimer,unknown,unknown,moderate,unknown
UasMitoTimer_RepoGal4_1week_moderate_5days_f7,AL_right,0.0,0.0,,uasmitotimer,unknown,unknown,moderate,unknown
UasMitoTimer_RepoGal4_1week_moderate_5days_f7,CX,0.0,0.0,,uasmitotimer,unknown,unknown,moderate,unknown
UasMitoTimer_RepoGal4_1week_moderate_5days_f7,MB_left,0.0,0.0,,uasmitotimer,unknown,unknown,moderate,unknown
